,hotel,scores,city,latitude,longitude,url
0,Paxton Paris MLV,"8,0",Ferrières-en-Brie,48.8213887,2.7045126,https://www.booking.com/hotel/fr/paxton-residence-spa.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204%3Bhotelfacility%3D433%3Bclass%3D4%3Bmealplan%3D1%3Bpopular_activities%3D253&srpvid=f07e4e9ae8ea0272&srepoch=1700824245&all_sr_blocks=5426331_91902903_0_1_0&highlighted_blocks=5426331_91902903_0_1_0&matching_block_id=5426331_91902903_0_1_0&sr_pri_blocks=5426331_91902903_0_1_0__85520&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
1,MOB House,"8,5",Saint-Ouen,50.03683,2.1223737,https://www.booking.com/hotel/fr/mob-house-paris.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D204%3Bhotelfacility%3D433%3Bclass%3D4%3Bmealplan%3D1%3Bpopular_activities%3D253&srpvid=f07e4e9ae8ea0272&srepoch=1700824245&all_sr_blocks=741767001_329183759_2_1_0&highlighted_blocks=741767001_329183759_2_1_0&matching_block_id=741767001_329183759_2_1_0&sr_pri_blocks=741767001_329183759_2_1_0__82025&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2,Les Elmes - Hôtel & Spa,"8,7",Banyuls-sur-Mer,42.4794084,3.1275893,https://www.booking.com/hotel/fr/logis-de-france-les-elmes.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204%3Bhotelfacility%3D433%3Bclass%3D4%3Bmealplan%3D1%3Bpopular_activities%3D253&srpvid=f07e4e9ae8ea0272&srepoch=1700824245&all_sr_blocks=5776606_367193976_2_41_0&highlighted_blocks=5776606_367193976_2_41_0&matching_block_id=5776606_367193976_2_41_0&sr_pri_blocks=5776606_367193976_2_41_0__97560&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
3,Hotel Eiffel Blomet,"8,7", Paris,48.8588897,2.3200410217200766,https://www.booking.com/hotel/fr/eiffel-blomet.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D204%3Bhotelfacility%3D433%3Bclass%3D4%3Bmealplan%3D1%3Bpopular_activities%3D253&srpvid=f07e4e9ae8ea0272&srepoch=1700824245&all_sr_blocks=226407302_99106673_0_1_0&highlighted_blocks=226407302_99106673_0_1_0&matching_block_id=226407302_99106673_0_1_0&sr_pri_blocks=226407302_99106673_0_1_0__117100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4,Golden Tulip Pornic Suites,"8,4",Pornic,47.1152695,-2.1040102,https://www.booking.com/hotel/fr/golden-tulip-pornic-suites.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D204%3Bhotelfacility%3D433%3Bclass%3D4%3Bmealplan%3D1%3Bpopular_activities%3D253&srpvid=f07e4e9ae8ea0272&srepoch=1700824245&all_sr_blocks=188240102_92400479_0_41_0&highlighted_blocks=188240102_92400479_0_41_0&matching_block_id=188240102_92400479_0_41_0&sr_pri_blocks=188240102_92400479_0_41_0__45500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
5,Golden Tulip Dieppe Hôtel & Spa,"8,4",Saint-Aubin-sur-Scie,49.8719724,1.0696088,https://www.booking.com/hotel/fr/golden-tulip-dieppe.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D204%3Bhotelfacility%3D433%3Bclass%3D4%3Bmealplan%3D1%3Bpopular_activities%3D253&srpvid=f07e4e9ae8ea0272&srepoch=1700824245&all_sr_blocks=1017080902_379544180_2_33_0&highlighted_blocks=1017080902_379544180_2_33_0&matching_block_id=1017080902_379544180_2_33_0&sr_pri_blocks=1017080902_379544180_2_33_0__58600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
6,"Radisson Blu Hotel Paris, Marne-la-Vallée","7,8",Magny-le-Hongre,48.8631156,2.8135257,https://www.booking.com/hotel/fr/hoteldisneyresort.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204%3Bhotelfacility%3D433%3Bclass%3D4%3Bmealplan%3D1%3Bpopular_activities%3D253&srpvid=f07e4e9ae8ea0272&srepoch=1700824245&all_sr_blocks=5852702_94107133_2_1_0&highlighted_blocks=5852702_94107133_2_1_0&matching_block_id=5852702_94107133_2_1_0&sr_pri_blocks=5852702_94107133_2_1_0__93354&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
7,LOISIUM Wine & Spa Hotel Champagne,"8,9",Mutigny,49.0660152,4.0261983,https://www.booking.com/hotel/fr/loisium-wine-amp-spa-champagne.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D204%3Bhotelfacility%3D433%3Bclass%3D4%3Bmealplan%3D1%3Bpopular_activities%3D253&srpvid=f07e4e9ae8ea0272&srepoch=1700824245&all_sr_blocks=865775401_367367398_0_1_0&highlighted_blocks=865775401_367367398_0_1_0&matching_block_id=865775401_367367398_0_1_0&sr_pri_blocks=865775401_367367398_0_1_0__127000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
8,Le Grand Pavillon Chantilly,"8,0",Chantilly,49.1931736,2.4636686,https://www.booking.com/hotel/fr/le-grand-pavillon-chantilly-vineuil-saint-firmin.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204%3Bhotelfacility%3D433%3Bclass%3D4%3Bmealplan%3D1%3Bpopular_activities%3D253&srpvid=f07e4e9ae8ea0272&srepoch=1700824245&all_sr_blocks=848846201_352071349_2_1_0&highlighted_blocks=848846201_352071349_2_1_0&matching_block_id=848846201_352071349_2_1_0&sr_pri_blocks=848846201_352071349_2_1_0__94000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
9,Résidence Prestige Odalys Mendi Alde,"7,9",La Clusaz,45.9043659,6.4239011,https://www.booking.com/hotel/fr/residence-prestige-odalys-mendi-alde.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D204%3Bhotelfacility%3D433%3Bclass%3D4%3Bmealplan%3D1%3Bpopular_activities%3D253&srpvid=f07e4e9ae8ea0272&srepoch=1700824245&all_sr_blocks=189613701_199444460_2_1_0&highlighted_blocks=189613701_199444460_2_1_0&matching_block_id=189613701_199444460_2_1_0&sr_pri_blocks=189613701_199444460_2_1_0__70000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
