,id,city,latitude,longitude,Probability of precipitation jour1,Precipitation volume jour1,Probability of precipitation jour2,Precipitation volume jour2,Probability of precipitation jour3,Precipitation volume jour3,Probability of precipitation jour4,Precipitation volume jour4,Probability of precipitation jour5,Precipitation volume jour5,Probability of precipitation jour6,Precipitation volume jour6,Probability of precipitation jour7,Precipitation volume jour7,Probability of precipitation jour8,Precipitation volume jour8
0,0,Mont Saint Michel,48.6359541,-1.511459954959514,1.0,2.6,1.0,8.23,1.0,8.44,1.0,4.19,1.0,2.74,1.0,2.97,1.0,9.73,0.0,0.0
1,1,St Malo,48.649518,-2.0260409,1.0,2.0,1.0,6.42,1.0,5.79,1.0,2.23,1.0,1.92,1.0,2.24,1.0,8.92,0.0,0.0
2,2,Bayeux,49.2764624,-0.7024738,1.0,0.88,1.0,11.62,1.0,5.48,1.0,4.36,1.0,2.02,1.0,0.62,1.0,7.31,0.0,0.0
3,3,Le Havre,49.4938975,0.1079732,1.0,2.61,1.0,17.81,1.0,11.28,1.0,8.51,1.0,3.91,1.0,1.56,1.0,8.25,0.2,0.15
4,4,Rouen,49.4404591,1.0939658,1.0,0.4,1.0,13.93,1.0,7.39,1.0,2.05,0.79,1.27,1.0,1.09,1.0,7.69,0.0,0.0
5,5,Paris,48.8588897,2.3200410217200766,0.38,0.0,1.0,13.16,1.0,5.05,0.2,0.29,1.0,1.32,0.0,0.0,1.0,2.66,0.0,0.0
6,6,Amiens,49.8941708,2.2956951,1.0,4.34,1.0,14.55,1.0,2.76,1.0,1.7,0.45,0.76,0.2,0.12,1.0,4.83,0.0,0.0
7,7,Lille,50.6365654,3.0635282,1.0,1.95,1.0,7.29,1.0,6.81,1.0,4.45,1.0,3.5,0.0,0.0,1.0,2.95,0.2,0.12
8,8,Strasbourg,48.584614,7.7507127,0.0,0.0,1.0,6.9,1.0,5.61,1.0,1.0,1.0,1.74,0.62,0.23,1.0,0.61,1.0,1.37
9,9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,0.02,0.0,1.0,13.93,1.0,10.64,1.0,1.0,1.0,1.32,0.72,1.1,0.91,0.41,1.0,2.19
10,10,Colmar,48.0777517,7.3579641,0.0,0.0,1.0,18.8,1.0,14.04,1.0,1.15,1.0,1.02,0.51,0.76,0.59,0.22,1.0,1.73
11,11,Eguisheim,48.0447968,7.3079618,0.0,0.0,1.0,20.69,1.0,15.77,0.96,1.34,1.0,2.51,0.59,0.7,0.57,0.2,1.0,1.48
12,12,Besancon,47.2380222,6.0243622,0.71,0.44,1.0,8.68,1.0,11.97,1.0,4.36,1.0,4.19,1.0,0.52,1.0,0.4,1.0,0.98
13,13,Dijon,47.3215806,5.0414701,0.0,0.0,1.0,11.95,1.0,9.39,1.0,2.84,1.0,0.99,0.35,0.12,1.0,0.6,0.77,0.29
14,14,Annecy,45.8992348,6.1288847,1.0,10.79,1.0,23.62,1.0,26.19,1.0,6.41,0.86,0.54,1.0,1.08,0.85,0.27,1.0,1.06
15,15,Grenoble,45.1875602,5.7357819,1.0,8.9,1.0,9.23,1.0,7.33,1.0,3.0,0.0,0.0,1.0,1.95,0.27,0.12,1.0,1.28
16,16,Lyon,45.7578137,4.8320114,1.0,1.66,1.0,10.82,0.98,0.91,1.0,1.54,0.0,0.0,1.0,1.41,0.0,0.0,1.0,0.9
17,17,Gorges du Verdon,43.7496562,6.3285616,1.0,6.12,1.0,7.76,1.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.12,0.21,0.11
